"routes3.shipmentorigindesc";"routes3.Latitude.x";"routes3.Longitude.x";"routes3.shipmentdestinationdesc";"routes3.Latitude.y";"routes3.Longitude.y"
"3347";"Riverside PA";40.955364;-76.628845;"CHINA - (Asymchem) Tianjin";39.91666667;116.383333
"3349";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"CHINA - (Cardinal Health Log) Shanghai";39.91666667;116.383333
"3353";"NETHERLANDS - MSD Oss";51.76118;5.514048;"CHINA - (Cardinal Health Log) Shanghai";39.91666667;116.383333
"3362";"Ballydine IRL";53.31666667;-6.233333;"CHINA - (Huahai Pharma) Xunqiao Linhai";39.91666667;116.383333
"3366";"MSD Haarlem";52.387388;4.646219;"CHINA - (Keyuan Xinhai) Beijing";39.91666667;116.383333
"3367";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"CHINA - (Keyuan Xinhai) Beijing";39.91666667;116.383333
"3368";"IRELAND - MSD Swords";53.31666667;-6.233333;"CHINA - (Keyuan Xinhai) Beijing";39.91666667;116.383333
"3372";"NETHERLANDS - MSD Oss";51.76118;5.514048;"CHINA - (Keyuan Xinhai) Beijing";39.91666667;116.383333
"3387";"SINGAPORE - (Zuelligpharma) Singapore";1.283333333;103.85;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3388";"Elkton VA";38.407904;-78.623628;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3389";"MSD Singapore West";1.283333333;103.85;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3390";"Cramlington UK";55.086136;-1.5808;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3391";"Elkton VA";38.883333;-77;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3393";"Wilson NC";35.721269;-77.91554;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3397";"Arecibo PR";18.444247;-66.646407;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3398";"MSD Spain";40.463667;-3.74922;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3400";"MSD Singapore South";1.283333333;103.85;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3406";"Mirabel France";44.144405;1.419822;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3407";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"CHINA - MSD Hangzhou";39.91666667;116.383333
"3431";"NETHERLANDS - MSD Oss";51.76118;5.514048;"Colombia";4.6;-74.083333
"3432";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"Colombia";4.6;-74.083333
"3434";"IRELAND - MSD Swords";53.31666667;-6.233333;"Colombia";4.6;-74.083333
"3452";"INDONESIA - MSD Indonesia Pandaan";-6.166666667;106.816667;"Colombia";4.6;-74.083333
"3457";"Wilson NC";35.721269;-77.91554;"Colombia";4.6;-74.083333
"3461";"Mirabel France";44.144405;1.419822;"Colombia";4.6;-74.083333
"3487";"MSD Haarlem";52.387388;4.646219;"Colombia";4.6;-74.083333
"3496";"West Point - Bldg 56";40.209052;-75.296471;"Colombia";4.6;-74.083333
"3497";"USA - FL Miami Lakes";25.908706;-80.308662;"Colombia";4.6;-74.083333
"3504";"MSD Singapore West";1.283333333;103.85;"Colombia";4.6;-74.083333
"3541";"NETHERLANDS - MSD Oss";51.76118;5.514048;"COLOMBIA";4.6;-74.083333
"3542";"BELGIUM - (DHL Pharma) Boortmeerbeek";50.97939;4.57598;"COLOMBIA";4.6;-74.083333
"3545";"MSD Haarlem";52.387388;4.646219;"COLOMBIA";4.6;-74.083333
"3559";"NETHERLANDS - (Movianto) Oss";51.76118;5.514048;"COLOMBIA";4.6;-74.083333
"3567";"Mirabel France";44.144405;1.419822;"COLOMBIA";4.6;-74.083333
